Distance,Intensity
68.903,65499.5430
68.989,65497.3086
69.076,65496.5859
69.163,65504.7188
69.249,65498.0430
69.336,65514.3281
69.423,65505.0000
69.509,65501.5898
69.596,65506.7969
69.683,65506.8086
69.769,65500.3711
69.856,65507.9844
69.943,65511.0195
70.029,65517.7578
70.116,65498.5234
70.203,65521.2617
70.289,65502.8047
70.376,65521.8086
70.463,65535.0000
70.549,65514.5938
70.636,65524.3047
70.723,65517.1211
70.810,65527.4883
70.896,65527.1836
70.983,65505.5273
71.070,65527.3516
71.156,65508.6289
71.243,65518.3555
71.330,65518.0977
71.416,65516.4336
71.503,65533.3945
71.590,65507.4180
71.676,65534.1758
71.763,65525.5273
71.850,65520.5703
71.936,65523.7070
72.023,65509.6172
72.110,65515.1133
72.196,65509.0664
72.283,65515.1836
72.370,65521.8398
72.456,65518.3477
72.543,65512.8281
72.630,65518.3320
72.716,65524.3555
72.803,65530.8164
72.890,65516.1641
72.976,65519.9062
73.063,65519.6406
73.150,65511.9570
73.236,65508.3164
73.323,65529.4258
73.410,65532.8125
73.496,65531.2695
73.583,65512.7773
73.670,65522.3086
73.756,65518.9805
73.843,65530.7891
73.930,65534.3984
74.016,65527.7578
74.103,65508.6016
74.190,65520.5586
74.276,65525.8047
74.363,65527.8555
74.450,65519.5977
74.536,65515.8516
74.623,65518.7109
74.710,65522.8672
74.796,65534.2969
74.883,65535.0000
74.970,65520.3555
75.056,65508.2617
75.143,65512.5469
75.230,65519.7305
75.316,65516.5977
75.403,65533.7969
75.490,65532.3984
75.576,65519.3164
75.663,65529.6094
75.750,65520.6836
75.836,65525.1719
75.923,65521.9141
76.010,65534.2422
76.096,65523.3711
76.183,65520.1289
76.270,65517.7539
76.356,65528.2461
76.443,65515.5977
76.530,65527.7578
76.616,65527.9570
76.703,65527.2734
76.790,65516.1172
76.876,65499.8438
76.963,65534.8828
77.050,65503.6875
77.136,65529.6797
77.223,65513.0000
77.310,65533.8828
77.396,65533.8945
77.483,65508.2852
77.570,65520.4805
77.656,65519.2148
77.743,65525.8516
77.830,65526.7344
77.916,65514.7773
78.003,65513.7266
78.090,65523.8984
78.176,65503.0000
