Distance,Intensity
117.438,65528.4961
117.525,65535.0000
117.611,65517.0547
117.698,65525.8789
117.785,65515.7070
117.871,65519.5117
117.958,65525.3984
118.045,65526.6367
118.131,65525.0664
118.218,65524.1523
118.305,65515.1133
118.391,65524.0352
118.478,65513.4688
118.565,65508.5273
118.651,65522.5469
118.738,65506.7188
118.825,65509.3672
118.911,65502.6641
118.998,65495.6758
119.085,65507.6328
119.171,65496.6758
119.258,65497.8867
119.345,65494.9180
119.431,65500.3906
119.518,65500.7695
119.605,65516.2539
119.691,65499.3750
119.778,65509.2461
119.865,65512.7734
119.951,65495.2695
120.038,65500.3438
120.125,65508.5234
120.211,65511.1328
120.298,65514.5898
120.385,65513.3555
120.471,65505.2344
120.558,65518.5312
120.645,65524.6133
120.731,65519.5508
120.818,65533.7773
120.905,65514.5156
